participant,window_start,window_end,motor_left_theta,motor_left_alpha,motor_left_beta,motor_left_alpha_beta_ratio,motor_left_beta_theta_ratio,motor_left_total_power,temporal_left_theta,temporal_left_alpha,temporal_left_beta,temporal_left_alpha_beta_ratio,temporal_left_beta_theta_ratio,temporal_left_total_power,motor_right_theta,motor_right_alpha,motor_right_beta,motor_right_alpha_beta_ratio,motor_right_beta_theta_ratio,motor_right_total_power,temporal_right_theta,temporal_right_alpha,temporal_right_beta,temporal_right_alpha_beta_ratio,temporal_right_beta_theta_ratio,temporal_right_total_power
20,135.904,137.904,0.610709936591141,0.22853914768160544,0.16075091572724437,1.4216973299820477,0.26321974819096766,10979.511400607797,0.5975007569417835,0.2743545805826826,0.12814466247552858,2.140975482572783,0.2144677826542285,18779.541093654647,0.4146801387994854,0.40425923741985975,0.18106062378064616,2.232728624140817,0.43662719006707107,11408.378860759922,0.6937768801132187,0.15198306728954109,0.15424005259723275,0.985367060826978,0.22231938973241713,13438.559248720812
20,136.4,138.4,0.6488024719994059,0.19203632144569213,0.1591612065548941,1.2065523100910278,0.24531535162683218,12829.29208213298,0.6053994893613478,0.26017393195470084,0.13442657868394622,1.935435198171578,0.2220460721328908,19095.142998550342,0.5213224625997157,0.31417636302818097,0.16450117437209363,1.9098730706779696,0.31554591672831617,10402.98643395447,0.6579028301364606,0.13323180372804883,0.20886536613548182,0.6378836577511923,0.3174714510532759,11257.397158937185
20,136.896,138.896,0.5791940993022222,0.19336691537892725,0.2274389853188376,0.8501924817675511,0.39268180665658914,7696.800555170701,0.5319651220967014,0.3234999929209749,0.14453488498231645,2.2382139298795476,0.27169992726711273,14002.636477946095,0.44442539026083605,0.3870204693591005,0.16855414038005273,2.29611962356089,0.3792630755887354,9390.397750778831,0.6520729238622653,0.15156256982076932,0.19636450631695623,0.7718430008737008,0.3011388743974758,10951.313948643246
20,137.392,139.392,0.6702412379852648,0.17181600300534072,0.1579427590093873,1.0878371638114865,0.23565061362705647,14110.566482656426,0.6530241851959323,0.2199890714453371,0.1269867433587251,1.7323782437973076,0.19445947981332898,18203.40561123202,0.48448182397656603,0.3372843478520436,0.17823382817137742,1.8923699912213605,0.3678854796005591,7700.64910000941,0.6750643460960917,0.16867516150696046,0.15626049239694045,1.0794485472276356,0.23147495983248967,13352.392723179291
20,137.888,139.888,0.6164831743116758,0.21936457603101567,0.16415224965730152,1.3363482772180761,0.2662720679126096,14451.330653108098,0.5890317150933498,0.26691660474301027,0.1440516801636355,1.8529225375212452,0.24455674706888256,23354.484767641912,0.5967649536158289,0.2231307387823962,0.18010430760176313,1.2388972909840463,0.30180108015810664,8556.173998377777,0.5325491606983556,0.2680914775396024,0.1993593617620315,1.3447649268640813,0.3743492178273245,9500.430981701827
20,138.384,140.384,0.6824096760129433,0.2357612296917928,0.08182909429526086,2.8811418691876933,0.11991197834907083,32340.10573681582,0.7155648820602948,0.21260732997427068,0.07182778796543249,2.9599593137489184,0.10037914068479947,46922.532178888454,0.5772017544974527,0.2923963557249277,0.1304018897776111,2.242270846101733,0.22592081323651747,11967.010400147754,0.5183794623955498,0.3360222924513078,0.14559824515313483,2.3078732308749634,0.2808719397953961,13125.517503091822
20,138.88,140.88,0.7625521739861016,0.1547245187117114,0.08272330730218372,1.8703860345731222,0.10848216046616516,30362.427491600964,0.7687511087950545,0.15896864963283344,0.07228024157210972,2.1993375530467008,0.09402294285520059,42007.064127013815,0.5065617036789722,0.346700614467619,0.14673768185339883,2.3627238081488398,0.28967385569752685,9999.564581102148,0.5651590060481235,0.27138732503101315,0.1634536689208549,1.6603318042521646,0.28921713565851637,11720.785982654173
20,139.376,141.376,0.6114995356253735,0.28264183268290966,0.10585863169171165,2.669993255779307,0.1731131841064284,19179.333344348153,0.6482614570571552,0.2510155068550498,0.10072303608779123,2.492136025727547,0.15537409326328375,26358.249864969002,0.5011192033202975,0.34740941916677354,0.1514713775129189,2.2935647966700525,0.3022661604450644,9990.435058623585,0.5210278851245667,0.3039198434060676,0.17505227146935784,1.736166236833172,0.3359748613598751,12655.131399419508
20,139.872,141.872,0.602803532303816,0.21451039589314286,0.18268607180302793,1.1742022463782154,0.30306071881302316,7560.675722906118,0.5664630865913355,0.3023336527396137,0.13120326066904311,2.3043150848379073,0.23161837686291387,13134.625472789407,0.4349448854092482,0.4359575448999071,0.12909756969083572,3.3769616728178002,0.2968136286264469,11270.127159843298,0.3682359014372117,0.43755324679856933,0.19421085176420907,2.2529804221742413,0.5274087915007899,9997.21106850112
20,140.368,142.368,0.6150055071841383,0.16325211892552294,0.22174237389032608,0.7362242771255718,0.3605534768389152,7889.323289305302,0.6617302828108366,0.1521983725155291,0.18607134467362635,0.8179570733069198,0.2811891030334103,12462.07756299439,0.5220660375070952,0.27486646070478493,0.203067501788109,1.3535718826717043,0.38896899472290425,9316.616035872963,0.5341733813096098,0.2304316532710777,0.235394965419303,0.9789149604818709,0.44067146296618365,10500.953997532113
20,140.864,142.864,0.6698592650146037,0.14952782237300397,0.1806129126123819,0.8278910970994687,0.2696281473518793,9601.764330978653,0.5808726716602113,0.21372529605209653,0.20540203228768494,1.0405218179766915,0.3536093920559493,13824.904413570692,0.4071850220870736,0.3199087928442154,0.27290618506869696,1.1722299103029503,0.6702264824719623,7140.566012399766,0.32324823185829465,0.30146940370657743,0.37528236443511326,0.8033135374222735,1.1609726750171747,6823.967311425608
20,141.36,143.36,0.744476422582694,0.13401962342725446,0.12150395399004568,1.1030062728512326,0.16320725587054905,16981.155407548238,0.7311993278826666,0.12724201372618368,0.14155865839114518,0.8988642247130738,0.1935979055137477,21890.174427095233,0.37836954675387946,0.3530267277243425,0.26860372552176404,1.3143031692452072,0.7098978441213573,7171.506530119643,0.3747567400730668,0.18899480687144504,0.43624845305547216,0.43322745455651185,1.1640843416729416,6300.946877040198
20,141.856,143.856,0.7455833809023733,0.13732207830756119,0.11709454079006056,1.1727453507312593,0.15705089972410763,19972.113787470902,0.7322305982625105,0.16661076327924534,0.10115863845824108,1.647024572676688,0.13815134016289016,31219.674847681352,0.43088428243651705,0.35142632266490964,0.21768939489855932,1.6143474643247904,0.505215445937332,7183.72222487939,0.3977795707597648,0.28996282645656596,0.3122576027836584,0.9286013338719278,0.7850016082707142,9100.627725151615
20,142.352,144.352,0.6000787347742521,0.2887821995304768,0.11113906569526805,2.5983860645569954,0.18520747237790003,33085.23871326626,0.635655319856344,0.2634386420860789,0.10090603805757495,2.6107321936053114,0.15874332347344952,49845.95458813327,0.37346144010192456,0.4205560596229505,0.20598250027510787,2.0417077133311117,0.5515495795734146,5848.073562992261,0.39850093009456516,0.4465024430799192,0.15499662682550924,2.880723614602017,0.38894922224830375,15755.536110173125
20,142.848,144.848,0.5861402824005748,0.27202298435824834,0.1418367332411716,1.9178599093628634,0.24198427833737843,18565.14998034983,0.6216605475122279,0.25696920740661666,0.12137024508115188,2.11723398296503,0.19523555993194802,27698.803824871717,0.32340649858215303,0.5402842998917674,0.13630920152606973,3.9636671174278515,0.42147947590310975,10309.450776970107,0.3061875146911577,0.5647174410419594,0.12909504426687687,4.374431599980697,0.42162086327095566,16580.683131093323
20,143.344,145.344,0.48960775387401,0.4217907064195355,0.08860153970645226,4.7605347245315235,0.1809643311516091,43831.20000502758,0.4744554333442981,0.44822597809725445,0.07731858855844588,5.79713088992082,0.16296280561790474,61919.310861374695,0.2784584634714386,0.6397313390521099,0.0818101974764459,7.819701684942796,0.2937967711828429,18182.401578635352,0.1917038190327859,0.712830227617366,0.09546595334984372,7.466852868531065,0.4979867059065453,22895.308399162222
20,143.84,145.84,0.26648609496321074,0.5907044659164143,0.14280943912036986,4.1363124843485,0.5358982769441775,19251.228735288852,0.24029689736654794,0.6490481720997758,0.11065493053367263,5.865515155714163,0.46049254795361916,27775.168433409755,0.27725862106540755,0.636240620073834,0.08650075886075304,7.355318363137129,0.3119858222202767,18161.316753927218,0.23797879209598163,0.6608734510652401,0.10114775683877429,6.533743028217823,0.42502844874503615,24302.018479900024
20,144.336,146.336,0.38092201840222517,0.485463184723361,0.1336147968744089,3.6333040657140203,0.3507667985034142,20010.201785123583,0.34236185299919186,0.5621422017363464,0.09549594526445869,5.886555708512828,0.27893278537864213,31803.371128592684,0.3625080068681477,0.5600966746841507,0.07739531844769705,7.236828866627444,0.21349961099161732,21837.78036806136,0.3412258765991961,0.5375647187110086,0.12120940468979065,4.435008323708621,0.3552175054770584,21673.049970501557
20,144.832,146.832,0.29717892156971837,0.5764697925797962,0.12635128585048022,4.5624370872010465,0.4251690704814535,18626.582381054643,0.29219393363428714,0.625329673412735,0.08247639295297447,7.581923154292813,0.282265931832116,29957.264842717876,0.4348908545796467,0.4792095910935514,0.08589955432679709,5.578720342021969,0.19751979932947597,20510.889572841446,0.32919627284418734,0.514443343941549,0.15636038321425932,3.2901130923719797,0.47497616501953704,22871.477013914675
