participant,window_start,window_end,motor_left_theta,motor_left_alpha,motor_left_beta,motor_left_alpha_beta_ratio,motor_left_beta_theta_ratio,motor_left_total_power,temporal_left_theta,temporal_left_alpha,temporal_left_beta,temporal_left_alpha_beta_ratio,temporal_left_beta_theta_ratio,temporal_left_total_power,motor_right_theta,motor_right_alpha,motor_right_beta,motor_right_alpha_beta_ratio,motor_right_beta_theta_ratio,motor_right_total_power,temporal_right_theta,temporal_right_alpha,temporal_right_beta,temporal_right_alpha_beta_ratio,temporal_right_beta_theta_ratio,temporal_right_total_power,rhythm_similarity
11,37.2,39.2,0.5043782363817436,0.4309232942487333,0.06469846936952,6.660486692313076,0.1282737134608479,33039.67716620413,0.61022323023631,0.2463586795398417,0.1434180902238451,1.7177657236637498,0.235025615410127,31569.7972952938,0.2028288820973665,0.5732081640164799,0.2239629538861504,2.5593883009234504,1.1041965600275554,30677.82800131136,0.2794013498445597,0.6401309382413709,0.0804677119140677,7.955127876942236,0.2880004407954153,57949.21696176362,0.032
11,37.696,39.696,0.328643943808486,0.5837518040495312,0.087604252141979,6.6635099298996,0.2665628069295217,26070.997773805564,0.5500916264502314,0.3097084718631027,0.1401999016866627,2.209049137247421,0.2548664530514285,30047.459912055707,0.1313592799513503,0.6583181960919627,0.2103225239566837,3.13004134653469,1.6011242147077314,32586.159441597203,0.2728095699722632,0.6245600214050544,0.1026304086226809,6.08552601306724,0.376197978073551,65068.303555137725,0.036
11,38.192,40.192,0.3851707342856177,0.5390604247744681,0.0757688409399103,7.114539672079075,0.1967149479319586,26339.607228420973,0.5428374728020163,0.3265419919771808,0.1306205352207994,2.499928448656177,0.2406254943059883,30418.546613473118,0.1414111933874535,0.6706033409849362,0.1879854656276076,3.567314838655496,1.3293535053660253,39384.55174215679,0.1385665162443787,0.7415924434379334,0.119841040317686,6.188134227406895,0.8648629089175509,56438.93622738491,0.036
11,38.688,40.688,0.2653364548702688,0.6461301248229893,0.0885334203067383,7.298149360821485,0.3336647440700294,27424.909050786333,0.5859073266571545,0.2722162156120996,0.1418764577307413,1.9186848894177584,0.2421482908230632,21337.054595313657,0.1685075664544935,0.6813745457375193,0.1501178878079848,4.538929741731058,0.8908673418443972,42594.59493890357,0.1345827462487373,0.7578874319425318,0.1075298218087292,7.048160400475943,0.7989866814724531,59297.86092386596,0.028
11,39.184,41.184,0.2083169839437365,0.7102045929321302,0.0814784231241299,8.716474444407513,0.3911271255066497,29409.391025485773,0.4975112989528907,0.3888942250071514,0.1135944760399543,3.423531130777473,0.228325419501095,28387.84788907674,0.1768583339709469,0.6956637572741583,0.1274779087548925,5.457131859699163,0.7207910755047159,48373.21275136927,0.1976909367725942,0.7209136916288764,0.0813953715985279,8.856937163266185,0.4117304158063515,67732.34332010508,0.032
11,39.68,41.68,0.3673764454034039,0.5619409929740653,0.0706825616225271,7.950206954510551,0.1923981858578664,26955.56525568141,0.4707553565833705,0.4557818676947286,0.0734627757218983,6.204256008786357,0.1560529788871084,37732.07812061471,0.2317323612763839,0.6524816574997635,0.1157859812238504,5.6352388311871735,0.4996539136187067,44692.409791928905,0.1614622297718786,0.7355673334179118,0.1029704368102076,7.143480752380185,0.6377369924575418,52919.919337521125,0.032
11,40.176,42.176,0.256919702881399,0.6523043534685343,0.090775943650062,7.18587245959249,0.353324181181873,21338.8748735782,0.4133022945062611,0.4876887966096654,0.0990089088840708,4.925706202667939,0.239555671962451,38565.74122380773,0.2867676138350692,0.5944668540399003,0.1187655321250277,5.005381977441698,0.4141525276746667,37203.75366772962,0.2063513467228878,0.6875957321070898,0.1060529211700202,6.483515253717032,0.5139434409044066,48574.40873709243,0.032
11,40.672,42.672,0.4292695066779041,0.4785150232846206,0.092215470037471,5.189097047275879,0.2148195215428208,23179.409947928016,0.5680859709481989,0.3598353160730022,0.0720787129787969,4.992255011251994,0.1268799383630075,56430.10177578452,0.3172254751807396,0.5407926424824107,0.1419818823368472,3.808884863206625,0.4475740236686599,42378.36761625396,0.2177064653769513,0.5477148031496446,0.234578731473401,2.3348868830068805,1.0775000690366852,32732.05177796756,0.036
11,41.168,43.168,0.4166081245528696,0.4843527752397615,0.099039100207365,4.89052075620254,0.2377272414302029,25116.56950780664,0.6267447945895606,0.285197957976061,0.0880572474343765,3.2387789339951247,0.1404993678360628,54642.09391805778,0.3954960215556804,0.4590447386383083,0.1454592398060086,3.1558307279104736,0.3677893882063464,39499.2780640619,0.29469037266763,0.5150669930763898,0.1902426342559774,2.70742147306131,0.6455678634284503,37385.76807043737,0.036
11,41.664,43.664,0.3795819886919634,0.5380153821214484,0.0824026291865846,6.529104561739096,0.2170878272452881,27929.46756652097,0.7240938732844204,0.2011295456051688,0.074776581110409,2.6897397904324154,0.1032691807917521,58220.30117680514,0.3238019069531947,0.5858672500805339,0.0903308429662692,6.485794119061757,0.2789694594952643,46753.60314190439,0.3444216354330146,0.550608780564901,0.104969584002082,5.245412619278052,0.3047705869874035,42776.174609327405,0.032
